timestamp,vowel,F1,F2,F3
0.5517,u,311.08,1010.93,2438.34
0.7342,u,367.33,1015.1,2435.19
1.4928,e,418.57,1837.56,2698.87
1.7484,i,361.94,2149.75,2655.18
1.9814,e,460.55,1553.81,2495.82
2.2082,u,352.12,1297.77,2202.5
2.4077,o,442.58,1006.61,2310.47
2.6685,u,288.41,776.22,2572.93
2.8795,o,440.38,1071.18,2338.59
3.6473,u,317.59,914.36,2387.99
3.7925,o,386.0,970.24,2579.71
4.3051,a,470.28,1268.45,2776.92
4.5523,u,373.76,812.31,2460.6
4.7781,a,638.58,1117.9,2251.97
5.0269,u,376.15,921.37,2189.95
5.5779,e,420.68,1792.35,2626.58
5.8493,e,456.59,1910.36,2699.67
6.1094,e,427.13,1950.8,2688.87
